Lang,CurrencyISO,CurrencyName,Money,Symbol
"FR","TTD","Trinité-et-Tobago Dollar","Dollar","$"
"FR","MNT","Tugrik","Төгрөг","₮"
"FR","USD","US Dollar","Dollar","$"
"FR","VUV","Vatu","Vatu","V"
"FR","KRW","won","원","₩"
"FR","CNY","yuan chinois","人民币","¥"
"FR","PLN","Zloty","Złoty","z"
"IT","AFN","Afghani afgano","افغانۍ","؋"
"IT","MGA","Ariary malgascio","Ariary","F"
"IT","THB","Baht thailandese","บาทไทย","฿"
"IT","PAB","Balboa panamense","Balboa","B"
"IT","ETB","Birr etiope","Birr","B"
"IT","VEF","Bolivar venezuelano","Bolívar","B"
"IT","BOB","Boliviano boliviano","Boliviano","B"
"IT","GHS","Cedi ghanese","Cedi","G"
"IT","CRC","Colón costaricano","Colón","₡"
"IT","NIO","Cordoba nicaraguense","Córdoba","C"
"IT","CZK","Corona ceca","Koruna","K"
"IT","DKK","Corona danese","Krone","K"
"IT","ISK","Corona islandese","Króna","k"
"IT","NOK","Corona norvegese","Krone","k"
"IT","SEK","Corona svedese","Krona","k"
"IT","GMD","Dalasi gambese","Dalasi","D"
"IT","DZD","Dinaro algerino","دينار","د"
"IT","BHD","Dinaro del Bahrain","دينار","."
"IT","JOD","Dinaro giordano","دينار","د"
"IT","IQD","Dinaro iracheno","دينار","ع"
"IT","KWD","Dinaro kuwaitiano","دينار","د"
"IT","LYD","Dinaro libico","دينار","ل"
"IT","MKD","Dinaro macedone","Денар","д"
"IT","RSD","Dinaro serbo","Динар","д"
"IT","TND","Dinaro tunisino","دينار","د"
"IT","AED","Dirham degli Emirati Arabi Uniti","درهم","د"
"IT","MAD","Dirham marocchino","درهم","د"
"IT","STD","Dobra di São Tomé e Príncipe","Dobra","D"
"IT","AUD","Dollaro australiano","Dollar","$"
"IT","CAD","Dollaro canadese","Dollar","$"
"IT","XCD","Dollaro dei Caraibi Orientali","Dollar","E"
"IT","BZD","Dollaro del Belize","Dollar","B"
"IT","BND","Dollaro del Brunei","Ringgit","B"
"IT","BMD","Dollaro della Bermuda","Dollar","B"
"IT","GYD","Dollaro della Guyana","Dollar","G"
"IT","BSD","Dollaro delle Bahamas","Dollar","B"
"IT","KYD","Dollaro delle Cayman","Dollar","$"
"IT","FJD","Dollaro delle Figi","Dollar","F"
"IT","SBD","Dollaro delle Salomone","Dollar","S"
"IT","BBD","Dollaro di Barbados","Dollar","B"
"IT","HKD","Dollaro di Hong Kong","香港圓","H"
"IT","SGD","Dollaro di Singapore","新加坡元","S"
"IT","TTD","Dollaro di Trinidad e Tobago","Dollar","$"
"IT","JMD","Dollaro giamaicano","Dollar","$"
"IT","LRD","Dollaro liberiano","Dollar","L"
"IT","NAD","Dollaro namibiano","Dollar","N"
"IT","NZD","Dollaro neozelandese","Dollar","$"
"IT","USD","Dollaro statunitense","Dollar","$"
"IT","SRD","Dollaro surinamese","Dollar","$"
"IT","ZWL","Dollaro zimbabwiano","Dollar","$"
"IT","VND","Đồng vietnamita","đồng","₫"
"IT","AMD","Dram armeno","Դրամ","դ"
"IT","CVE","Escudo di Capo Verde","Escudo","E"
"IT","EUR","Euro","Euro","€"
"IT","AWG","Fiorino arubano","Florijn","A"
"IT","ANG","Fiorino delle Antille olandesi","Gulden","N"
"IT","HUF","Fiorino ungherese","Forint","F"
"IT","XOF","Franco CFA BCEAO","Franc","C"
"IT","XAF","Franco CFA BEAC","Franc","C"
"IT","XPF","Franco CFP","Franc","F"
